asset_id,market_id,acquisition_date,equipment_class,oec
17891,9,11/1/2017,Dirt,185400
17751,2,11/1/2017,Aerial,151261
6654,9,1/1/2017,Aerial,149029
4058,1,1/1/2016,Aerial,147600
5469,6877,1/1/2016,Dirt,144720
5459,9,1/1/2016,Dirt,144720
7933,9,3/1/2017,Dirt,141120
7932,9,3/1/2017,Dirt,141120
18569,9,12/1/2017,Aerial,139736
13903,9,9/1/2017,Dirt,133920
16701,8606,11/1/2017,Dirt,133920
7351,3,2/1/2017,Aerial,132851
6970,4,1/1/2017,Aerial,132851
13360,8,9/1/2017,Aerial,132851
18480,5,12/1/2017,Aerial,130356
19042,8,12/1/2017,Aerial,130356
18729,7329,12/1/2017,Aerial,130356
7765,5,2/1/2017,Aerial,130356
17511,9,11/1/2017,Dirt,129600
15971,9,10/1/2017,Dirt,129600
17372,9,11/1/2017,Dirt,129600
6847,7669,1/1/2017,Aerial,121120
4010,1,1/1/2016,Aerial,114435
528,9,1/1/2016,Aerial,114435
13907,9,10/1/2017,Dirt,111600
13667,8,9/1/2017,Dirt,111600
6112,3,1/1/2016,Aerial,111240
168,8,1/1/2016,Aerial,111240
8039,9,4/1/2017,Dirt,108000
13751,8,9/1/2017,Dirt,106906
16992,9,11/1/2017,Dirt,106546
2768,9,1/1/2016,Dirt,106428
13636,8,9/1/2017,Dirt,101016
14221,8,10/1/2017,Dirt,100080
5005,3,1/1/2016,Aerial,99324
8526,9,4/1/2017,Dirt,98911
5484,9,1/1/2016,Dirt,98752
5016,9,1/1/2016,Dirt,98752
6346,5,1/1/2016,Dirt,98752
5249,9,1/1/2016,Dirt,98752
6364,9,1/1/2016,Dirt,98752
5476,5,1/1/2016,Dirt,98752
6194,9,1/1/2016,Dirt,98752
5157,9,1/1/2016,Dirt,98752
8519,9,4/1/2017,Dirt,98515
5885,9,1/1/2016,Aerial,98427
5979,3,1/1/2016,Aerial,98427
7776,5,2/1/2017,Aerial,97348
8089,4,3/1/2017,Aerial,97348
8026,9,3/1/2017,Aerial,97348
9161,9,4/1/2017,Aerial,97348
8393,5,3/1/2017,Aerial,97348
17651,7522,11/1/2017,Aerial,96580
17768,10744,11/1/2017,Aerial,96580
17641,9,11/1/2017,Aerial,96580
13646,2,9/1/2017,Aerial,95869
8941,7669,4/1/2017,Aerial,95869
9095,9,4/1/2017,Aerial,95869
8337,2,3/1/2017,Aerial,95869
16233,1,10/1/2017,Aerial,95869
9009,9,4/1/2017,Aerial,95869
8896,6877,4/1/2017,Aerial,95869
8691,10744,4/1/2017,Aerial,95869
8457,2,3/1/2017,Aerial,95869
9264,11007,4/1/2017,Aerial,95869
8341,2,3/1/2017,Aerial,95869
8170,7522,3/1/2017,Aerial,95869
8521,6,3/1/2017,Aerial,95869
7988,6877,2/1/2017,Aerial,95869
16592,2,10/1/2017,Aerial,95869
7775,8632,2/1/2017,Aerial,95868
7627,9,2/1/2017,Aerial,95868
7798,6877,2/1/2017,Aerial,95868
7532,9,2/1/2017,Aerial,95868
7531,4,2/1/2017,Aerial,95868
7523,4,2/1/2017,Aerial,95868
7714,3,2/1/2017,Aerial,95868
7873,1,3/1/2017,Aerial,95868
7726,9,2/1/2017,Aerial,95868
2989,8,1/1/2016,Dirt,94007
13778,2,9/1/2017,Aerial,92105
14146,1,9/1/2017,Aerial,92091
13813,8,9/1/2017,Aerial,92091
13834,9,9/1/2017,Aerial,92091
14099,3,9/1/2017,Aerial,92091
13814,7329,9/1/2017,Aerial,92091
13735,2,9/1/2017,Aerial,92091
8015,6,3/1/2017,Aerial,92037
12312,6877,8/1/2017,Aerial,92037
7955,2,3/1/2017,Aerial,92037
8673,2,4/1/2017,Aerial,92037
9094,8,4/1/2017,Aerial,92037
8102,8,3/1/2017,Aerial,92037
8226,2,3/1/2017,Aerial,92037
9421,5,5/1/2017,Aerial,92037
13158,8,8/1/2017,Aerial,92037
7986,4,2/1/2017,Aerial,92037
7899,3,3/1/2017,Aerial,92037
8107,8,3/1/2017,Aerial,92037
8527,7522,4/1/2017,Aerial,92037
7916,3,2/1/2017,Aerial,92037
8847,1,4/1/2017,Aerial,92037
8127,8,3/1/2017,Aerial,92037
8972,9,4/1/2017,Aerial,92037
7826,2,3/1/2017,Aerial,92037
7496,3,2/1/2017,Aerial,92037
7918,6877,3/1/2017,Aerial,92037
7778,4,2/1/2017,Aerial,92037
7651,5,2/1/2017,Aerial,92037
7725,8632,2/1/2017,Aerial,92037
7917,8,3/1/2017,Aerial,92037
7655,9,2/1/2017,Aerial,92037
6796,3,1/1/2017,Aerial,91717
16521,1,10/1/2017,Aerial,91398
10592,6877,7/1/2017,Aerial,91398
13945,8,10/1/2017,Aerial,91398
9567,2,5/1/2017,Aerial,91398
10781,8135,8/1/2017,Aerial,90399
10888,9,8/1/2017,Aerial,90399
10887,9,8/1/2017,Aerial,90399
14193,8,9/1/2017,Dirt,89640
14190,7329,9/1/2017,Dirt,89640
16800,9,11/1/2017,Dirt,89407
16733,9,11/1/2017,Dirt,89407
14145,9,9/1/2017,Dirt,89407
5800,9,1/1/2016,Aerial,89280
5719,3,1/1/2016,Aerial,88560
5354,2,1/1/2016,Aerial,88560
13610,9,9/1/2017,Dirt,88488
12689,7329,8/1/2017,Aerial,88423
13361,8,8/1/2017,Aerial,88423
9694,8,5/1/2017,Aerial,88423
13812,8,9/1/2017,Aerial,88423
16524,7329,10/1/2017,Aerial,88057
17935,8,11/1/2017,Aerial,88057
16801,7329,10/1/2017,Aerial,88057
16585,8,10/1/2017,Aerial,88057
16946,8,10/1/2017,Aerial,88057
